Serial No,Assamese Sentence,Sentiment
2061,২০১১ চনত কলকাতা নাইট ৰাইডাৰ্ছৰ ব্ৰাণ্ড মূল্য আছিল $৫৭.,Neutral
11575,কিন্তু তাত গৈ তেওঁ নিজ চকুৰে দেখিলে পুত্ৰ পঙ্কজৰ ট্ৰেজিক মৃত্যু।,Negative
4952,আৰু ১৯৫৫ চনত তেওঁ যুক্তৰাষ্ট্ৰৰ নাগৰিকত্ব লাভ কৰে।,Negative
4400,আদি দেশত প্ৰয়োগ কৰা হয়।,Negative
3638,অৱশ্যে পাঠ্যক্ৰম আৰম্ভ হোৱাৰ ছমাহ পাছতেই তেখেতে অধ্যয়ন পৰিত্যাগ কৰাৰ সিদ্ধান্ত লয় আৰু ছবিৰ জগততে পূৰ্ণ পৰ্যায়ৰ কেৰিয়াৰ এটা গঢ়াৰ ইচ্ছা প্ৰকাশ কৰে।,Negative
4403,আদি পণ্ডিতসকলে নৰ নাৰায়ণৰ সভা উজ্জ্বলাই ৰাখিছিল।,Negative
1501,১৯৯০-ৰ দশকৰ মাজভাগত লৈকে মুম্বাইত আৰু কিছুমান বঁটা বিয়পাই পৰা লৈকে ফিল্মফেয়াৰ বঁটাবোৰ বলিউডৰ প্ৰধান আৰু আটাইতকৈ স্বীকৃত বঁটা আছিল।,Positive
27,১০ মে'ত তেওঁলোকে এটা নতুন দ্বীপ দেখিলে যিটো সাগৰীয় কাছৰে ভৰি আছিল।,Neutral
362,১৮৮০ দশকত নিৰ্মিত এই অতিথিশালাটো তিতাবৰৰ পৰা প্ৰায় পাঁচ কিঃমিঃ মান দূৰত্বৰ জালুকনিবাৰীত অৱস্থিত।,Negative
140,১৬২৩ কিছু বছৰ আগতে নৰ্থ ৱালত শ্বেইকছপীয়েৰৰ লিখি থকা অৱস্থাৰ আৱক্ষ মূৰ্তি এটা উন্মোচন কৰা হয়।,Negative
6913,ই হৈছে সংশয় ব্যৱস্থাপনা (Risk Management) ৰ এটা প্ৰকাৰ য’ত সম্ভৱ্য দূৰ্ঘটনা তথা অনিশ্চিত ক্ষতিৰ বিপৰীতে ৰক্ষণা-বেক্ষনা দিয়া হয় ।,Negative
4075,"আওপুৰণি চিন্তা আৰু দৰ্শনক অতিশয় নতুন প্ৰসংগত প্ৰক্ষেপ কৰা হৈছে, যিটো মই ভাবোঁ এক আকৰ্ষণীয় সান্নিধ্য সৃষ্টিৰ বাবে কৰা হৈছে।",Positive
4223,"আচাৰ ফেক্টৰীত এস্থাই যি ‘দুটা চিন্তা’ চিন্তা কৰে(“সকলোৰে লগত সকলো কথা ঘটিব পাৰে”, আৰু “সদায় সাজু হৈ থকাটো ভাল”) সি উপন্যাসৰ ঘটনাক নতুন মোৰ দিয়ে।",Negative
1154,১৯৭০ চনত তেওঁ হাংগেৰীৰে ভাৰতীয় ৰাষ্ট্ৰদূত হিচাপে নিযুক্তি লাভ কৰে।,Negative
22894,বাৰ্ধক্যজনিত কাৰণত ২০২০ চনৰ ৪ জুন তাৰিখে মুম্বাইৰ নিজা বাসভৱনত তেখেতৰ মৃত্যু ঘটে।,Negative
403,১৮৯০ চনৰ নৱেম্বৰলৈকে খনন কাৰ্য চলি ৬৬২ ফুট (২০২ মিটাৰ) গভীৰতালৈকে যায়।,Positive
125,১৫ ডিচেম্বৰত গোটেই বিশ্বৰ বিভিন্ন চহৰত এক গোলকীয় অভিবৰ্তনৰ আয়োজন কৰা হৈছিল।,Negative
3642,অৱশ্যে প্ৰথমবছৰৰ শিক্ষাৰ অন্তত তেখেতে অভিনয়ৰ প্ৰতি আকৰ্ষিত হয় আৰু শিক্ষা অসমাপ্ত কৰি সেইটো ক্ষেত্ৰত মনোনিৱেশ কৰে।,Neutral
2791,"Mills, ASM, Report Assam, Page 24 নদী- বিলত মাছ মাৰিবলৈ নিৰ্দিষ্ট মহল কৰি সৰ্বোচ্চ ডাক দিয়াজনৰ লগতে বন্দোৱস্তী দি জলকৰ লোৱাৰ ব্যৱস্থা কৰিলে।",Positive
3,০৪ ছেকেণ্ড) বাবে ৰৈ থকা পৰিঘটনা।,Neutral
1974,২০০৯ চনত তেওঁ ফ্ল'ৰিডাত অনুষ্ঠিত আন্তৰ্জাতিক দেহশ্ৰী প্ৰতিযোগিতাত মিষ্টাৰ ইউনিভাৰ্ছ খিতাপ লাভ কৰিবলৈ সক্ষম হয়।,Neutral
28535,সাহিত্য জগতলৈ আগবঢ়োৱা বিপুল অৱদানৰ বাবে সদৌ অসম কবি সন্মিলনে তেখেতক 'বকুল বনৰ বঁটা' প্ৰদান কৰাৰ উপৰিও অসম চৰকাৰে ২০০৬ চনত সাহিত্যিক পেঞ্চন আগবঢ়াইছিল।,Positive
5012,আৰু কথা মতেই পৰশুৰামে হাতত থকা কুঠাৰেৰে আঘাত কৰি ব্ৰহ্মকুণ্ডৰ পাৰ কাটি দিলে আৰু ঘঁৰিয়াল ৰূপী সুতাপা উদ্ধাৰ হল আৰু ব্ৰহ্মকুণ্ডৰ জলভাগত স্নান কৰাৰ লগে লগে পৰশুৰামৰ হাতৰ কুঠাৰ সুলকি পৰিল।,Neutral
724,১৯৩৭-৩৮ চনত লৰ্ড টেনীছনৰ এম চি চি দলৰ বিপক্ষে পাঁচখন অনানুষ্ঠানিক টে'ষ্টত তেওঁ ১৬.,Positive
2397,২০২১ চনৰ এপ্ৰিল মাহত এইজন সাহিত্যিকৰ মৃত্যু হয়।,Neutral
1512,১৯৯১ চনত পোন প্ৰথম বাৰৰ বাবে এই বঁটা প্ৰদান কৰা হৈছিল।,Neutral
2707,Arabian jasmine (বেলি ফুল).,Positive
1422,"১৯৮৬ চনত ""নতুন অসম বিলাসিনী"" সংবাদ পত্ৰৰ সহ-সম্পাদক হিচাপে সাংবাদিক জীৱন আৰম্ভ কৰি তেখেত বৰ্তমান ""এদিনৰ সংবাদ"" বাতৰিকাকতৰ মুখ্য কাৰ্যবাহী সম্পাদকৰূপে কৰ্মৰত।",Neutral
1611,১৯৯৬ৰ বিধানসভা নিৰ্বাচনত অসমৰ ৰাজনৈতিক দৃশ্যপটত বহুতো লক্ষণীয় পৰিবৰ্তন দেখা গৈছিল।,Neutral
374,১৮৮৪ চনত তেওঁ জাৰ্মানীৰ বাৰ্লিনত বেক্টেৰিয়াক দুটা মুখ্য শ্ৰেণীত শ্ৰেণীবিভাজন কৰা এক পদ্ধতি উদ্ভাৱন কৰে।,Negative
1025,১৯৬০ চনত পাকিস্তানৰ ৰাষ্ট্ৰপতিয়ে ৰোচন আৰা বেগমক ‘সিতাৰা-ই-ইমটিয়াজ’ বঁটা আৰু ‘প্ৰাইড অফ পাৰফৰমেঞ্চ’ বঁটা প্ৰদান কৰে।,Negative
272,১৮৪৫ চনৰ চেপ্তেম্বৰৰ পৰা ১৮৪৬ চনৰ আগষ্টলৈকে এই সুদীৰ্ঘ সময়ছোৱা কঠোৰ পৰিশ্ৰম কৰি দুয়ো বন্ধুৱে লিখি উলিয়ালে ৬০০ পৃষ্ঠাৰ এখন শকত পাণ্ডুলিপি।,Negative
692,১৯৩২ চনত আমেৰিকাত আন্তৰ্জাতিক উচ্চ বিজ্ঞান পৰিষদৰ পৰা এনে এক আমন্ত্ৰণ পাই তেওঁ আমেৰিকালৈ যায়।,Negative
5235,আৱামী লীগৰ এজন সদস্য এম এ হান্নানে সৰ্বপ্ৰথমে ১৯৭১ চনৰ ২৬ মাৰ্চ তাৰিখে এই ঘোষণা প্ৰচাৰ কৰিছিল বুলি কোৱা হয়।,Neutral
4354,"আদা, জলকীয়া, নহৰু মছলা হিচাপে ব্যৱহাৰ কৰে ।",Positive
3674,অৱশ্যে যাদৱৰ এই নতুন দলটো সংযুক্ত মৰ্চাৰ অংশীদাৰ হৈ ৰ'ল।,Negative
4544,আনকি মৰ্টনৰ আটাইতকৈ সৰল ৰূপ – স্ফটিলিত চেনিৰ পৰা তৈয়াৰ কৰা ৰক কেণ্ডি - এক বিলাসী সামগ্ৰী বুলি গণ্য কৰা হৈছিল।,Negative
2585,"৫, অৰ্থাৎ মুঠ দুটা ফলাফলৰ পৰা যিকোনো এটা ফল এবাৰত পোৱা যাব।",Negative
2187,২০১৩ চনৰ ৩১ ডিচেম্বৰত ৭৬৫ কিলোভল্ট ৰায়চোৰ-চোলাপুৰ সংবহন তাঁৰৰ মাজেৰে প্ৰৱাহ চালিত কৰাৰ লগেলগে অৱশিষ্ট দক্ষিণ গ্ৰীডটোও কেন্দ্ৰীয় গ্ৰীডৰ লগত সংযুক্ত হৈ পৰিল।,Neutral
6250,ইয়াৰ পিছত উৎফুল্ল মনেৰে তেওঁ এখন চৰাইখানাত সকলোৰে আগত মৃত্যুৰ এই উপহাৰৰ কথা গৌৰৱেৰে ঘোষণা কৰিলে।,Negative
2040,২০১০ চনৰ ৮ নৱেম্বৰ তাৰিখে শ্ৰী শ্ৰী আঠখেলীয়া নামঘৰৰ পৰিচালনা সমিতিৰ আহ্বান ক্ৰমে এখন সাধাৰণ সভা অনুষ্ঠিত হৈছিল।,Neutral
2343,"২০১৮ চনৰ মাৰ্চ মাহত, ইউটিউবে ঘোষণা কৰে যে তেওঁলোকে তেওঁলোকৰ প্লেটফৰ্মত ভিডিঅ'সমূহত ভুল তথ্যৰ প্ৰচলন ঠিক কৰিবলৈ ৱিকিপিডিয়াৰ পৰা তথ্য ব্যৱহাৰ কৰিব।",Neutral
5474,ইজনে সিজনৰ হাত ধৰি এই বিশেষ নৃত্য প্ৰদৰ্শন কৰিবলৈ এটা অৰ্ধ বৃত্ত সৃষ্টি কৰা হয় আৰু গীতবোৰ ব্যঙ্গাত্মক আৰু আনন্দৰে ভৰা।,Positive
1825,২০০৪ চনৰ নৱেম্বৰত তেওঁ দিল্লীৰ হৈ প্ৰথম শ্ৰেণীৰ ক্ৰিকেটত আত্মপ্ৰকাশ কৰে।,Positive
5337,ই আই উপত্যকা বন সংমণ্ডলৰ অন্তৰ্গত।,Neutral
3005,অতীতৰ বান্ধৱী নিৰ্মলাৰ কথা তেওঁৰ মনত পৰে।,Negative
1186,"১৯৭১ চনত ৰামকৃষ্ণ আশ্ৰম এল, পি, স্কুল, ৰামকৃষ্ণ এম, ই, স্কুল (১৭৭৬) আৰু পিছত ৰামকৃষ্ণ আশ্ৰমৰ হাইস্কুলো স্থাপন কৰা হয়।",Positive
484,১৯০৪ চনত ব্ৰিটিছ চৰকাৰে প্ৰথমবাৰৰ বাবে কো-অপাৰেটিভ ক্ৰেডিট চোচাইটিজ এক্ট গৃহীত কৰে।,Positive
18797,দেশৰ হকে থকা যিকোনো ক্ষেত্ৰতে ভাল তথা বিৰল কামেৰে ৰাষ্ট্ৰৰ উন্নতি সাধন কৰা ব্যক্তিলৈ এই পুৰস্কাৰ আগবঢ়োৱা হয়।,Positive
3976,অসমীয়া লোকক নলৈ বঙালীক অনাৰ হয়তো কাৰণ দুটা আছিল—,Positive
3833,"অসমৰ উপৰিও মণিপুৰ, নগালেণ্ডো আগৰ বা সাঁচি গছৰ বাগিছাৰ বাবে উপযোগী।",Negative
3571,অৱশ্যে এই সাপবিধ বিশ্বৰ অন্যান্য বহুতো ঠাইত নতুনকৈ সংস্থাপিতও কৰা হৈছে।,Positive
1008,১৯৫৯ চনত পাঠশালাত সদানন্দ লহকৰে গঠন কৰা 'নটৰাজ অপেৰা' নামৰ যাত্ৰাদলটোক আদিপৰ্ব হিচাপে লৈয়ে অচ্যুত লহকৰে নটৰাজ থিয়েটাৰ গঢ় দিছিল।,Neutral
4563,আনজন প্ৰতিষ্ঠাপক আছিল সাংবাদিক আৰু তেখেতৰ স্বামী প্ৰণয় ৰয়।,Neutral
3844,অসমৰ চৰকাৰৰ সংগঠন অসম মানৱ অধিকাৰ আয়োগে অখিল গগৈৰ ওপৰত কৰা উৎপীড়নৰ অভিযোগক বিচাৰ কৰিবৰ সিদ্ধান্ত লয়।,Positive
18328,দৰ্শন অভিজ্ঞতাৰ উন্নতিৰ হেতুকে তেওঁ ইয়াক ত্ৰিবিমীয় ৰূপ দিবলৈ ঠাৱৰ কৰে।,Positive
5343,ই আন ব্ৰাউজাৰতকৈ প্ৰায় ৩০ গুণ অধিক প্ৰদান কৰিবলৈ সক্ষম।,Neutral
3224,"অন্য ঠাইত আল্লাহে কয়, ‘আৰু তুমি বৰ্ণনা কৰা ইছমাঈল, আল-ইয়াছা‘ আৰু যুল-কিফলৰ কথা।",Negative
10180,এনে কাৰণতে এৰিষ্ট'টলৰ নাতি-ভতিজাক ৰাজকীয় মহলে বিশ্বাসঘাটকতাৰ বাবে দোষী সাবস্ত্য কৰি মৃত্যুদণ্ড দিছিল।,Negative
179,১৬শ শতিকাত চুলতান ইউচুফ শ্বাহে ইয়াৰ নাম সলাই গুলমাৰ্গ ৰাখে।,Negative
2206,২০১৪ চনত তেওঁক এই বঁটা প্ৰদান কৰিছিল।,Positive
282,১৮৪৯ চনত ঢেকিয়াল ফুকনৰ প্ৰথম সন্তান ৰাসেশ্বৰীৰ জন্ম হয় যদিও সন্তানটো অকালতে মৃত্যুমুখত পৰে।,Neutral
29545,স্বৰ্ণকমল পুৰস্কাৰ লাভ কৰিবলৈ সক্ষম হৈছিল।,Positive
5387,ই একে ধৰণৰ উদ্দেশ্য থকা কেইবাটাও অন্য সংগঠনৰ লগত মিলি কাম কৰে।,Neutral
535,১৯১২ চনত কাফ্কাৰ বন্ধু মেক্স ব্ৰডৰ ঘৰত প্ৰথম বাৰৰ বাবে জাৰ্মান ৰমনী ফেলিচ বেয়াৰৰ সান্নিধ্যলৈ আহে।,Positive
925,১৯৫২ চনত তেওঁ গড়মূৰ সত্ৰৰ এম ই স্কুলত প্ৰধান শিক্ষক ৰূপে কাৰ্য নিৰ্বাহ কৰে।,Positive
