"Serial No","Assamese Sentence","Sentiment"
479,"১৬৫২ চনতে দক্ষিণ আফ্ৰিকাত শ্বেতাংগ লোকৰ বসতি স্থাপন আৰম্ভ হোৱাৰ লগে লগেই এই নীতিৰো প্ৰচলন আৰম্ভ হয়।","Neutral"
644,"১৭৭৩ চনত নিজৰ ঠাইলৈ ঘূৰি আহি জেনাৰ এজন সফল পাৰিবাৰিক আৰু শল্য চিকিৎসক হৈ পৰে।","Neutral"
20987,"ইয়াৰ পিছত বিষয়ৰ বিভাজন অনুসৰি প্ৰতিটো দলৰ সদস্য সকলে অধ্যয়ন, আলোচনা, অৱধাৰণা, প্ৰাপ্ত তথ্য আদিৰ আধাৰত নিজৰ ভাগৰ উপবিষয়টোৰ ওপৰত অন্তিম প্ৰতিবেদন তৈয়াৰ কৰে।","Negative"
25176,"এই উৎসৱত সকলোৰে ঘৰত তুলসীৰ পুলি ৰুই পৰিৱেশৰ উন্নতি সাধন কৰিবলৈ সকলোকে উৎসাহিত কৰা হয়।","Positive"
7971,"২৫ চেণ্টৰ টিকটৰ বিনিময়ত তাক চাবলৈ জনসাধাৰণক সুবিধা কৰি দিয়া হৈছিল আৰু তাৰ ফলত মালিক ওলছেনে প্ৰায় ৪,৫০০ আমেৰিকান ডলাৰ (বৰ্তমান ৪৮,৩০০) আৰ্জন কৰিছিল।","Positive"
4688,"১৯৮৬ চনত তেওঁ তাত প্ৰবক্তা হিচাপে কাম কৰাৰ সুবিধা পায়।","Positive"
19269,"ইয়াত গ'ল্ফ খেলাৰ সকলো সুবিধা আছে।","Positive"
2421,"১৯৪০ চনত আনন্দ সমাৰাকুনে সিংহল ভাষাত নমো নমো মাতা শীৰ্ষক গীত এটি লিখিছিল।","Positive"
21290,"ইয়াৰ ফলত গ্ৰহণকাৰীৰ অন্ত্ৰৰ উন্নতি হয় বুলি ধাৰণা কৰা হয়।","Positive"
13123,"""অসমীয়া ভাষা,সাহিত্য আৰু সংস্কৃতিৰ সৰ্বাংগীণ উন্নতি কৰাই এই সভাৰ ঘাই উদ্দেশ্য, লগতে অসমৰ থলুৱা ভাষা-সংস্কৃতিৰ উন্নয়নৰ বাবে কাম কৰাও সভাৰ অন্যতম উদ্দেশ্য হ’ব।","Positive"
39416,"কিন্তু ৰাইজৰ মৌলিক সমস্যাবোৰৰ সমাধানত চৰকাৰৰ আওকণীয়া মনোভাৱৰ পৰিপ্ৰেক্ষিতত কংগ্ৰেছৰ শক্তি লাহে লাহে বাঢ়ি আহে।","Negative"
500,"১৬৬৩ চনত আহোম আৰু মোগলৰ মাজত তিপামৰ ঘিলাধাৰী নামে ঠাইত ঠাইত সন্ধি হয়।","Neutral"
48451,"জীৱবিজ্ঞান, ৰসায়ন বিজ্ঞান আৰু প্ৰাণীবিজ্ঞানত স্নাতকোত্তৰ পাঠ্যক্ৰমৰ সুবিধা আছে।","Positive"
41943,"খেলৰ মাজতে যদি কোনো এটা ঢাপত খেলুৱৈজনে ভুল কৰে, তেতিয়া পৰৱৰ্তী খেলুৱৈজনে খেলিবলৈ সুবিধা পায়।","Positive"
2923,"১৯৫০ চনতে টাটা মৌলিক গৱেষণা প্ৰতিষ্ঠানৰ দ্বাৰা ওটি আৰু কলাৰ সোণৰ খনিত মহাজাগতিক ৰশ্মি অধ্য়য়নৰ উদ্দেশ্যে গৱেষণাৰ সুবিধা কৰা হয়।","Positive"
274,"১৪৮০ চনত ফাৰ্ডিনেণ্ড মেগালান এক সম্ভ্ৰান্ত পৰ্টুগীজ পৰিয়ালত জন্মগ্ৰহণ কৰে আৰু কালক্ৰমত নিজকে এক নিপুন নাৱিক তথা নৌ বিষয়া হিচাপে প্ৰতিষ্ঠিত কৰে।","Neutral"
472,"১৬৪০ চনত এথ'নেছিয়াছ কাৰ্চাৰ-এ (Athonasius Kircher) 'মেজিক চাকি' (Magic Lantern) নামৰ এটা যন্ত্ৰ সাজি উলিয়ায়।","Neutral"
2113,"১৯২৯ চনৰ ২০ জুনত যোশী কমিটিয়ে প্ৰতিবেদন দাখিল কৰে আৰু ই ইম্পেৰিয়েল বিধান পৰিষদত একে বছৰৰে ২৮ চেপ্তেম্বৰত গৃহীত হয়।","Negative"
