"text","sentiment"
"আমাৰ স্কুলৰ অনুষ্ঠান আজি আছিল।","neutral"
"মই আজি বজাৰলৈ গলোঁ।","neutral"
"মোৰ পৰীক্ষাৰ ফল ভাল হৈছে।","positive"
"মই এই সেয়া সহ্য কৰিব নোৱাৰো।","negative"
"তেওঁ মেলা পৰিদৰ্শন কৰিলে।","neutral"
"এইটো এটা সাধাৰণ দিন আছিল।","neutral"
"সঁচাকৈয়ে কফিখিনি বেয়া আছিল।","negative"
"তেওঁ কামত ব্যস্ত আছিল।","neutral"
"পৰীক্ষাত মই অসফল হ’লো।","negative"
"ৰাস্তাটো বৰ জনবহুল আছিল।","neutral"
"মোৰ বন্ধুৱে দিয়া উপহাৰটো বৰ পচন্দ।","positive"
"ৰাতিপুৱা ইমান ধুনীয়া অনুভৱ কৰিছো।","positive"
"এই কামটোৰ ফল ভাল নহ’ব।","negative"
"আজি মোৰ মনটো একেবাৰে বেয়া।","negative"
"ঘৰৰ কামবোৰ আজিও শেষ নহ'ল।","negative"
"এই গানটো শুনি মন ভাল লাগে।","positive"
"তুমি মোক বৰ সুখী কৰিলা।","positive"
"বতাহত এই দৃশ্যটো দেখিবলৈ অভূতপূর্ব।","positive"
"বাহ, সেইটো বৰ ভাল কথা।","positive"
"এইটো একেবাৰে ভাল হোৱা নাই।","negative"
"ছবিখনে বহুটো বঁটাও লাভ কৰিছে।","positive"
"তেওঁ বি.আৰ. চোপ্রাৰ মহাভাৰতত দুর্যোধনৰ অভিনয় কৰা নাছিল নে?","neutral"
"ভোটদানৰ বাবে যোগ্য সকলো লোকৰ নাম ভোটাৰ তালিকাত থাকিব।","neutral"
"বঢ়িয়া দেখোন!","positive"
"তেওঁৰ সহায়ত মই উপকৃত হ'লো।","positive"
"ঠিক আছে, মই সেইটো মনত ৰাখিম।","neutral"
"বৰ ভাল, তুমি এইটোত অংশগ্রহণ কৰা উচিত।","positive"
"বৰ ভাল লাগিছে দেই।","positive"
"মই সোনকালেই শাখাটোলৈ যাম।","neutral"
"লিট্টি মোৰ প্রিয়সমূহৰ ভিতৰত এবিধ।","positive"
"আমি যি পাও সেইখিনিৰেই সন্তুষ্ট হ'ম।","positive"
"সেইটোৱেই সমস্যা।","negative"
"অনাগত দিনবোৰত ভাইৰাছটোৰ অধিক ভয়ংকৰ ৰূপ আহিব বুলি ভবা হৈছে।","negative"
"যেতিয়া অর্জুনে যুদ্ধ কৰিবলৈ অস্বীকাৰ কৰে, কৃষ্ণৰ তেওঁৰ প্রতি ধৈর্য্য নোহোৱা হয়।","negative"
"কিন্তু এনেধৰণৰ বতৰৰ সাংঘাটিক ৰূপৰ ফলত বস্তুবোৰ কিমান ভয়ঙ্কৰ হৈ পৰে এইটো দেখিবলৈ দুর্ভাগ্যজনক।","negative"
"ৰাতিপুৱা এই কথা শুনি মই বিষন্ন হৈ পৰিলো।","negative"
"এইখন গাঁৱত এক প্লেগৰ প্রাদুর্ভাৱ ঘটিছিল আৰু মই আশ্রমৰ শিশুবোৰৰ সুৰক্ষাৰ প্রতি স্পষ্ট বিপদ অহা দেখিছিলো।","negative"
"ফাৰহান আখটাৰে বৰ ভাল কাম কৰিছে।","positive"
"তুমি বহু বেছি চিন্তা কৰি আছা।","negative"
"মই ভাবো মই মোৰ পৰৱর্তী অধ্যয়নৰ বাবে বিজ্ঞান লম।","neutral"
"আৰু তুমি কোনটো ক্লাৱত সোমাইছা?","neutral"
"আপুনি ধনখিনি লাভ কৰিব।","positive"
"যুদ্ধখন ওঠৰ দিনলৈ হিংসাত্মকভাৱে চলে আৰু কৌৰৱসকলৰ পৰাজয়ৰ সৈতে অন্ত পৰে।","negative"
"পুৱা তেওঁ মোৰ ওপৰত চিঞৰিছিল।","negative"
"এইটো ইমান বিপদজনক বস্তু!","negative"
"সেইটোৱে যথেষ্ট সহায় কৰিব।","positive"
"আশা কৰো তোমালোক সকলো ভালে আছা।","positive"
"মই সেইবোৰ দুঃসাহসিক ক্রীড়াৰ প্রতি ইমান আগ্রহী নহয়।","negative"
"পুৱা মই চাহ খাইছিলো।","neutral"
"তেওঁ কামত ব্যস্ত আছিল।","neutral"
"বেলিকা ঘৰৰ কামবোৰ আজিও শেষ নহ'ল।","negative"
"তেওঁৰ পৰামৰ্শ উপকাৰী।","positive"
"মই আজি নতুন চিঠি লিখিলো।","neutral"
"তেওঁ আজি স্কুললৈ গ’ল।","neutral"
"তেওঁ আজি পঢ়া শেষ কৰিলে।","neutral"
"তেওঁৰ শুভেচ্ছা পাই ভাল লাগিল।","positive"
"আজি আমাৰ স্কুলৰ অনুষ্ঠান আছিল।","neutral"
"আজি মোৰ মনটো একেবাৰে বেয়া৷","negative"
"এই সপ্তাহত মই দেউতাকক লগ পাম।","neutral"
"ছোৱালীজনী বৰ ভাল৷","positive"
"এজাক বতাহত গছৰ পাতবোৰ সৰি গছজোপা বেয়া দেখা হ’ল।","negative"
"মোৰ বন্ধুজন বৰ সহানুভূতিশীল।","positive"
"তেওঁৰ কথাবোৰ মনোমোহা।","positive"
"তেওঁ আজি নতুন কাপোৰ কিনিলে।","neutral"
"তেওঁ আজি ঘৰতে আছিল।","neutral"
"মই আজি আহাৰ খাব পৰা নাছিলো।","negative"
"কিয় জানো, সদায় ভাল মানুহৰহে বিপদ হয়৷","negative"
"হাতীয়ে কল খাই৷","neutral"
"মানুহজন ঢুকুৱাই বৰ দুখ লাগিল৷","negative"
"আজি বহুদিনৰ পাছত হাঁহিছিলো।","positive"
"মই নতুন বন্ধুবোৰ পাই আনন্দিত।","positive"
"এই গানটো শুনি মন ভাল লাগে।","positive"
"পুৱা বতাহটো অলপ বেছি আছিল।","neutral"
"গৰু এবিধ পোহনীয়া জন্তু৷","neutral"
"তেওঁৰ ব্যৱহাৰে মনত দুঃখ দিলে।","negative"
"এই কথা শুনি মই সুখী হৈ পৰিলো।","positive"
"এইটো এটা সাধাৰণ দিন আছিল।","neutral"
"মই এখন নতুন বাইক কিনিলো।","neutral"
"ৰাতিপুৱা এই গানটো শুনি মন ভাল লাগে।","positive"
"তেওঁৰ হাঁহিটো দেখিলে দুঃখ পোৱা যায়।","negative"
"তেওঁৰ ভাষণে অনুপ্ৰেৰণা যোগায়৷","positive"
"মই আজি এজন বন্ধুক লগ পালো।","neutral"
"তেওঁ কালি মেলত বহিছিল।","neutral"
"সঁচাকৈয়ে মই আজি চিনেমা চাবলৈ গ’লো৷","neutral"
"মই নতুন ঠাইলৈ যোৱাৰ সুযোগ নাপালো।","negative"
"আজি বেয়া খবৰ শুনিলো।","negative"
"মই নতুন বস্তু শিকিব পৰা নাছিলো।","negative"
"পুৱা এইটো এটা সাধাৰণ দিন আছিল।","neutral"
"পুৱা মই চাহ খাইছিলো।","neutral"
"তেওঁক বুজনি দিয়াত মই অসফল হ'লো।","negative"
"হয়, মই গান গাই ভাল পাওঁ।","positive"
"এই কথা শুনি মই বিষন্ন হৈ পৰিলোঁ।","negative"
"মই ভাবো বলিউডে আমাক নষ্ট কৰিলে।","negative"
"আজি বেয়া ঘটনা এটা দেখিলো৷","negative"
"এইটো এটা সাধাৰণ দিন আছিল।","neutral"
"সঁচাকৈয়ে এই কিতাপখন বৰ ভাল লাগিল।","positive"
"ৰাতিপুৱা মই এটা নতুন চৰাই দেখিলো।","neutral"
"ৰাতিপুৱা ঘৰৰ কামবোৰ আজিও শেষ নহ'ল।","negative"
"ৰাস্তাটো বৰ জনবহুল আছিল।","neutral"
"আজি বেয়া খবৰ শুনিলোঁ যেন লাগিল।","negative"
